nbfc_id,nbfc_name,layer,region,quarter,period_end,sector,loan_outstanding_cr,gnpa_pct,nnpa_pct,crar_pct,roa_pct
NBFC027,MiddleFin 27 Ltd,Middle  Layer,North,FY22Q4,31/03/2022,Wholesale/Corporate,12425.02,5.683,2.216,25.59,1.205
NBFC002,UpperFin 02 Ltd,Upper Layer,North,FY25Q4,31/03/2025,MSME,25662.87,3.726,0.782,25.14,3.254
NBFC009,UpperFin 09 Ltd,Upper Layer,Central,FY23Q4,31/03/2023,Wholesale/Corporate,17243.97,4.123,1.361,25.93,2.541
NBFC028,MiddleFin 28 Ltd,Middle Layer,East,FY24Q4,31/03/2024,Retail (Vehicle),41426.35,2.287,0.617,28.4,3.047
  NBFC009 ,UpperFin 09 Ltd,Upper Layer,Central,FY25Q2,30/09/2024,Infrastructure,26120.62,2.633,0.632,24.94,3.573
NBFC010,UpperFin 10 Ltd,Upper Layer,West,FY22Q4,31-03-2022,Retail (Personal/Unsecured),9172.23,9.158,3.572,N/A,1.277
NBFC020,MiddleFin 20 Ltd,Middle Layer,West,FY22Q4,31-03-2022,Wholesale/Corporate,"19,147.42",5.752,2.243,29.09,1.891
NBFC010,UpperFin 10 Ltd,Upper Layer,West,FY24Q2,30-09-2023,Retail (Gold),7015.88,,0.365,30.33,2.98
NBFC032,MiddleFin 32 Ltd,Middle Layer,North,FY24Q4,2024-03-31,Wholesale/Corporate,13657.0,2.51,0.678,25.83,3.026
NBFC019,MiddleFin 19 Ltd,Middle Layer,Central,FY21Q4,31-03-2021,Infrastructure,10375.51,4.987,2.244,23.73,1.598
NBFC049,BaseFin 49 Ltd,Base Layer,Central,FY21Q4,2021-03-31,Retail (Personal/Unsecured),1952.01,10.06,4.527,24.69,2.004
NBFC037,MiddleFin 37 Ltd,Middle Layer,North,FY24Q4,31-03-2024,Infrastructure,"12,709.05",1.931,0.521,26.13,2.816
NBFC030,MiddleFin 30 Ltd,Middle Layer,West,FY22Q4,31-03-2022,Retail (Housing),18257.6,2.73,1.065,26.14,1.542
NBFC045,BaseFin 45 Ltd,Base Layer,West,FY23Q4,31/03/2023,Retail (Housing),1276.35,2.022,0.667,28.09,3.414
  NBFC026 ,MiddleFin 26 Ltd,Middle Layer,South,FY22Q2,2021-09-30,  Retail (Housing) ,"17,344.39",3.314,1.392,24.51,1.177
NBFC001,UpperFin 01 Ltd,Upper Layer,South,FY24Q4,2024-03-31,Retail (Vehicle),30293.98,2.294,0.619,27.62,3.162
NBFC045,BaseFin 45 Ltd,BL,West,FY25Q2,30/09/2024,Retail (Personal/Unsecured),3728.64,5.342,1.282,999,2.843
NBFC019,MiddleFin 19 Ltd,ML,Central,FY21Q4,31/03/2021,retail (housing),18157.14,2.955,1.33,23.43,2.05
NBFC003,UpperFin 03 Ltd,Upper Layer,East,FY22Q4,2022-03-31,Retail (Personal/Unsecured),12088.5,8.654,3.375,25.91,1.289
NBFC043,BaseFin 43 Ltd,Base Layer,East,FY24Q4,31/03/2024,Wholesale/Corporate,1030.64,2.64%,0.713,24.85,2.847
NBFC044,BaseFin 44 Ltd,Base Layer,Central,FY25Q2,2024-09-30,GOLD LOAN,4407.27,1.041,0.25,23.13,2.911
NBFC045,BaseFin 45 Ltd,Base Layer,West,FY21Q4,31/03/2021,Infrastructure,245.29,5.155,2.32,27.02,1.864
NBFC058,BaseFin 58 Ltd,Base Layer,East,FY21Q4,31-03-2021,Retail (Personal/Unsecured),"1,703.45",9.997,4.499,N/A,1.912
NBFC037,MiddleFin 37 Ltd,Middle Layer,North,FY22Q2,30-09-2021,Retail (Gold),10614.52,2.064,0.867,23.32,1.126
NBFC057,BaseFin 57 Ltd,Base Layer,North,FY24Q2,2023-09-30,micro finance,4018.57,6.784,2.035,26.12,2.652
NBFC007,UpperFin 07 Ltd,UL,North,FY22Q2,2021-09-30,Retail (Personal/Unsecured),4545.0,10.13,4.255,28.47,1.252
NBFC057,BaseFin 57 Ltd,Base Layer,North,FY25Q2,30-09-2024,Infrastructure,478.5,2.789,0.669,26.23,2.787
NBFC007,UpperFin 07 Ltd,Upper Layer,North,FY23Q2,30/09/2022,Wholesale/Corporate,6219.26,N/A,1.811,26.26,1.999
NBFC011,UpperFin 11 Ltd,Upper Layer,South,FY21Q4,2021-03-31,Wholesale/Corporate,8206.79,6.431,2.894,27.15,1.344
  NBFC036 ,MiddleFin 36 Ltd,Middle Layer,South,FY22Q2,30-09-2021,Retail (Housing),11973.33,3.023,1.27,26.91,1.23
  NBFC035 ,MiddleFin 35 Ltd,Middle  Layer,West,FY24Q4,31/03/2024,GOLD LOAN,21778.27,0.783,0.211,25.63,3.027
NBFC049,BaseFin 49 Ltd,base layer,Central,FY25Q4,2025-03-31,MSME,2728.6,3.523,0.74,28.55,2.266
NBFC023,MiddleFin 23 Ltd,Middle Layer,East,FY25Q4,31/03/2025,M.S.M.E,36973.87,3.639,0.764,24.72,2.233
NBFC058,BaseFin 58 Ltd,Base Layer,East,FY24Q4,31-03-2024,Infrastructure,299.20,2.053,0.554,25.31,-
NBFC004,UpperFin 04 Ltd,Upper Layer,Central,FY25Q4,31/03/2025,Infrastructure,"15,540.01",2.412,0.507,25.24,3.132
NBFC022,MiddleFin 22 Ltd,Middle Layer,North,FY25Q2,30/09/2024,Microfinance,15465.19,6.47,1.553,25.89,2.984
NBFC050,BaseFin 50 Ltd,Base Layer,West,FY25Q2,30/09/2024,Retail (Gold),4486.4,1.005,0.241,28.93,2.816
NBFC012,UpperFin 12 Ltd,Upper Layer,North,FY25Q2,2024-09-30,M.S.M.E,13436.63,3.75,0.9,25.65,2.99
NBFC031,MiddleFin 31 Ltd,Middle Layer,South,FY23Q4,31/03/2023,Microfinance,17985.09,7.765,2.562,29.5,2.893
NBFC059,BaseFin 59 Ltd,Base Layer,Central,FY22Q2,2021-09-30,Wholesale/Corporate,1008.44,6.374,2.677,-,2.108
NBFC041,BaseFin 41 Ltd,Base Layer,South,FY24Q4,31/03/2024,Retail (Vehicle),1828.05,2.239,N/A,26.4,3.381
NBFC041,BaseFin 41 Ltd,Base Layer,South,FY25Q4,31-03-2025,Retail (Personal/Unsecured),2672.12,4.662,0.979,28.49%,2.782
NBFC013,UpperFin 13 Ltd,Upper Layer,East,FY23Q2,2022-09-30,Wholesale/Corporate,9291.61,5.028,1.81,26.99,2.523
NBFC012,UpperFin 12 Ltd,Upper Layer,North,FY22Q2,2021-09-30,Retail (Housing),15404.72,3.015,1.266,24.05,1.046
NBFC039,MiddleFin 39 Ltd,ML,Central,FY24Q4,31/03/2024,  Retail (Personal/Unsecured) ,34019.72,3.89,1.05,28.08,3.638
NBFC060,BaseFin 60 Ltd,Base Layer,West,FY25Q2,30/09/2024,Retail (Vehicle),2773.52,2.991,0.718,25.47,3.143
NBFC022,MiddleFin 22 Ltd,ML,North,FY24Q4,31-03-2024,Retail (Vehicle),"19,299.18",2.368,0.639,23.93,3.789
NBFC019,MiddleFin 19 Ltd,Middle Layer,Central,FY22Q4,31/03/2022,micro finance,17316.92,11.033,4.303,24.91,1.654
  NBFC045 ,BaseFin 45 Ltd,Base Layer,West,FY24Q2,30/09/2023,Retail (Gold),3131.43,1.126,0.338,28.06,2.761
NBFC026,MiddleFin 26 Ltd,Middle Layer,South,FY22Q2,30/09/2021,Wholesale/Corporate,"12,388.85",6.288,2.641,28.26,1.162
NBFC060,BaseFin 60 Ltd,Base Layer,West,FY23Q4,31/03/2023,MSME,2136.15,,1.57,29.4,3.468
  NBFC057 ,BaseFin 57 Ltd,BASE LAYER,North,FY23Q2,30-09-2022,Microfinance,3412.12,9.69,3.488,26.48,-
NBFC053,BaseFin 53 Ltd,  Base Layer ,East,FY25Q2,2024-09-30,MSME,1423.04,3.957,0.95,27.94,3.38
NBFC009,UpperFin 09 Ltd,Upper Layer,Central,FY24Q4,2024-03-31,housing,0,1.18,0.319,23.76,3.595
NBFC001,UpperFin 01 Ltd,upper layer,South,FY23Q4,31/03/2023,  Infrastructure ,17450.6,3.09,1.02,24.53,3.077
NBFC043,BaseFin 43 Ltd,base layer,East,FY25Q2,30-09-2024,microfinance,"3,670.64",5.981,1.435,25.27%,3.367
NBFC053,BaseFin 53 Ltd,Base Layer,East,FY21Q4,2021-03-31,MFI,1203.61,11.582,5.212,27.85%,1.387
NBFC011,UpperFin 11 Ltd,Upper Layer,South,FY22Q2,30/09/2021,Wholesale/Corporate,8668.19,6.358,2.67,27.65,N/A
NBFC059,BaseFin 59 Ltd,Base Layer,Central,FY24Q4,31/03/2024,Infrastructure,503.09,1.885,0.509,null,3.374
NBFC038,MiddleFin 38 Ltd,Middle Layer,East,FY23Q4,31/03/2023,Wholesale/Corporate,7573.43,3.889,1.283,28.32,2.506
NBFC015,UpperFin 15 Ltd,Upper Layer,West,FY24Q4,31/03/2024,GOLD LOAN,8114.45,0.766,0.207,26.09%,3.008
NBFC047,BaseFin 47 Ltd,Base Layer,North,FY24Q2,30-09-2023,MSME,1264.02,4.561,1.368,26.63,2.534
NBFC028,MiddleFin 28 Ltd,Middle Layer,East,FY24Q4,31-03-2024,Retail (Housing),36248.06,null,0.335,28.36%,3.217
NBFC018,MiddleFin 18 Ltd,Middle Layer,East,FY25Q2,2024-09-30,Retail (Personal/Unsecured),35326.74,5.091,1.222,28.65,3.101
NBFC043,BaseFin 43 Ltd,Base Layer,East,FY21Q4,31-03-2021,Microfinance,2173.25,11.625,5.231,27.83,2.025
NBFC060,BaseFin 60 Ltd,  Base Layer ,West,FY22Q4,2022-03-31,Infrastructure,261.02,4.667,1.82,25.09,2.082
NBFC015,UpperFin 15 Ltd,Upper Layer,West,FY24Q2,2023-09-30,Retail (Housing),26697.99,1.886,0.566,30.52,2.988
NBFC058,BaseFin 58 Ltd,  Base Layer ,East,FY25Q4,2025-03-31,  Retail (Gold) ,3061.48,0.988,0.207,27.89,2.794
NBFC023,MiddleFin 23 Ltd,Middle Layer,East,FY22Q4,31/03/2022,Wholesale/Corporate,14306.81,6.216,2.424,23.85,1.795
NBFC022,MiddleFin 22 Ltd,Middle Layer,North,FY24Q4,31-03-2024,Infrastructure,9649.59,1.937,0.523,23.83,3.779
NBFC024,MiddleFin 24 Ltd,Middle Layer,Central,FY22Q2,30/09/2021,Retail (Personal/Unsecured),9295.94,10.472,4.398,28.04,1.468
NBFC047,BaseFin 47 Ltd,Base Layer,North,FY21Q4,31/03/2021,Microfinance,1273.0,11.901,5.355,27.45,2.002
NBFC001,UpperFin 01 Ltd,Upper Layer,South,FY23Q2,30-09-2022,Retail (Vehicle),23081.13,4.794,1.726,NA,1.827
NBFC015,UpperFin 15 Ltd,UL,West,FY22Q4,31/03/2022,MSME,11423.02,6.663,2.599,29.6,1.819
  NBFC025 ,MiddleFin 25 Ltd,Middle Layer,West,FY25Q4,31/03/2025,Infrastructure,8901.34,2.418,0.508,24.43,3.103
NBFC026,MiddleFin 26 Ltd,Middle Layer,South,FY25Q2,2024-09-30,microfinance,23773.35,6.477,1.554,24.17,2.562
NBFC031,MiddleFin 31 Ltd,Middle Layer,South,FY24Q2,30/09/2023,Microfinance,"19,611.23",250,2.161,28.72,2.584
NBFC046,BaseFin 46 Ltd,Base Layer,South,FY24Q2,30/09/2023,Infrastructure,379.09,2.999,0.9,28.93,3.124
NBFC005,UpperFin 05 Ltd,Upper Layer,West,FY24Q4,31-03-2024,Microfinance,4309.01,4.437%,1.198,28.86,3.106
NBFC050,BaseFin 50 Ltd,Base Layer,West,FY21Q4,31-03-2021,Retail (Vehicle),2065.95,6.102,2.746,25.55,1.974
NBFC054,BaseFin 54 Ltd,Base Layer,Central,FY23Q4,31-03-2023,Retail (Personal/Unsecured),2236.59,6.453,2.129,24.79,2.926
NBFC031,MiddleFin 31 Ltd,Middle Layer,South,FY23Q2,30/09/2022,Microfinance,16651.65,9.364,3.371,24.51,2.016
NBFC028,MiddleFin 28 Ltd,Middle Layer,East,FY25Q2,30/09/2024,Infrastructure,22131.04,2.782,0.668,26.99,2.878
NBFC048,BaseFin 48 Ltd,Base Layer,East,FY23Q4,31-03-2023,  MSME ,2040.42,4.457%,1.471,30.03,3.116
NBFC042,BaseFin 42 Ltd,Base Layer,North,FY23Q2,30-09-2022,MFI,3578.0,null,3.381,29.9,2.003
NBFC002,UpperFin 02 Ltd,Upper Layer,North,FY21Q4,2021-03-31,Retail (Housing),"26,178.48",3.009,1.354,23.53,1.325
NBFC016,MiddleFin 16 Ltd,Middle Layer,South,FY22Q4,31-03-2022,Retail (Gold),13547.55,1.847,0.72,28.44,1.312
NBFC016,MiddleFin 16 Ltd,Middle Layer,South,FY22Q4,31/03/2022,Infrastructure,10838.04,4.855,1.893,23.73,1.53
NBFC013,UpperFin 13 Ltd,UL,East,FY21Q4,31/03/2021,Retail (Gold),3857.29,1.913,0.861,25.65,1.013
NBFC036,MiddleFin 36 Ltd,Middle Layer,South,FY23Q2,30-09-2022,Retail (Personal/Unsecured),13653.33,7.724,2.781,29.56,2.479
NBFC060,BaseFin 60 Ltd,Base Layer,West,FY23Q2,30/09/2022,Microfinance,2825.4,9.732,3.504,30.17,2.268
NBFC022,MiddleFin 22 Ltd,  Middle Layer ,North,FY22Q4,31-03-2022,Infrastructure,"6,792.05",4.566,1.781,24.14,1.446
NBFC048,BaseFin 48 Ltd,Base Layer,East,FY21Q4,31/03/2021,Retail (Housing),-100,3.138,1.412,22.42,1.275
NBFC013,UpperFin 13 Ltd,Upper Layer,East,FY23Q2,30/09/2022,housing,"17,034.61",2.489%,0.896,28.64,1.598
NBFC053,BaseFin 53 Ltd,BASE LAYER,East,FY24Q4,31-03-2024,Retail (Personal/Unsecured),1746.65,3.915,1.057,28.95,3.223
NBFC035,MiddleFin 35 Ltd,Middle Layer,West,FY25Q4,31/03/2025,Retail (Vehicle),39615.71,2.833,0.595,22.94,2.623
NBFC057,BaseFin 57 Ltd,Base Layer,North,FY22Q4,2022-03-31,Retail (Housing),1260.88,2.847,1.11,27.97%,1.544
NBFC033,MiddleFin 33 Ltd,Middle Layer,East,FY23Q4,2023-03-31,Wholesale/Corporate,7694.61,4.139,1.366,999,2.631
NBFC049,BaseFin 49 Ltd,  Base Layer ,Central,FY25Q4,31-03-2025,Retail (Vehicle),2728.6,2.971,0.624,23.34,2.367
  NBFC019 ,MiddleFin 19 Ltd,Middle Layer,Central,FY22Q4,31-03-2022,Retail (Vehicle),23089.23,5.253,2.049,26.7,1.519
NBFC043,BaseFin 43 Ltd,base layer,East,FY24Q2,30/09/2023,Wholesale/Corporate,924.82,3.661,1.098,26.18,3.407
NBFC028,MiddleFin 28 Ltd,Middle Layer,East,FY23Q2,2022-09-30,Retail (Housing),27617.57,2.452,0.883,27.41,2.233
NBFC027,MiddleFin 27 Ltd,ML,North,FY23Q4,2023-03-31,Infrastructure,"11,621.20",N/A,1.089,27.62,2.85
NBFC004,UpperFin 04 Ltd,Upper Layer,Central,FY24Q4,31-03-2024,Wholesale/Corporate,11716.03,2.634,0.711,28.25,3.477
NBFC045,BaseFin 45 Ltd,BASE LAYER,West,FY23Q4,2023-03-31,Microfinance,3190.87,7.257,2.395,29.27,2.796
NBFC046,BaseFin 46 Ltd,Base Layer,South,FY23Q2,30/09/2022,Retail (Gold),2896.95,1.58,0.569,30.31,2.604
NBFC020,MiddleFin 20 Ltd,Middle Layer,West,FY23Q4,31-03-2023,Retail (Vehicle),35817.42,3.689,1.217,24.52%,2.498
NBFC051,BaseFin 51 Ltd,Base Layer,South,FY21Q4,2021-03-31,Retail (Gold),1668.23,1.972,0.887,22.91,1.73
NBFC002,UpperFin 02 Ltd,Upper Layer,North,FY25Q2,2024-09-30,Retail (Vehicle),40196.2,3.228,0.775,26.92,3.342
NBFC030,MiddleFin 30 Ltd,Middle Layer,West,FY22Q2,30/09/2021,Infrastructure,"9,903.55",5.399,2.268,28.71,1.093
NBFC021,MiddleFin 21 Ltd,Middle Layer,South,FY22Q4,31/03/2022,Retail (Gold),9198.58,1.802,,28.88,1.767
NBFC020,MiddleFin 20 Ltd,Middle Layer,West,FY23Q2,30-09-2022,MSME,33161.88,5.86,2.11,29.12,2.608
NBFC053,BaseFin 53 Ltd,  Base Layer ,East,FY21Q4,31-03-2021,Retail (Vehicle),842.52,6.019,2.709,27.84,1.475
NBFC009,UpperFin 09 Ltd,Upper Layer,Central,FY25Q2,30/09/2024,Retail (Gold),11194.55,1.051,0.252,25.25,2.425
NBFC052,BaseFin 52 Ltd,Base Layer,North,FY25Q2,30-09-2024,Retail (Personal/Unsecured),"3,592.76",5.106,1.225,null,3.352
NBFC030,MiddleFin 30 Ltd,Middle Layer,West,FY25Q2,2024-09-30,MSME,31673.71,3.813,0.915,26.35,3.217
NBFC024,MiddleFin 24 Ltd,Middle Layer,Central,FY24Q4,31/03/2024,Retail (Gold),9937.75,0.794,0.214,29.02,3.598
NBFC007,UpperFin 07 Ltd,Upper Layer,North,FY22Q4,2022-03-31,Microfinance,"1,915.17",10.879,4.243,24.98,1.23
NBFC028,MiddleFin 28 Ltd,Middle Layer,East,FY23Q4,2023-03-31,Retail (Gold),"21,306.52",1.195,0.394,27.84,2.35
NBFC060,BaseFin 60 Ltd,Base Layer,West,FY24Q2,30-09-2023,Infrastructure,332.76,3.061%,0.918,25.59,null
NBFC011,UpperFin 11 Ltd,UPPER LAYER,South,FY22Q2,2021-09-30,Retail (Gold),4334.09,2.1,0.882,24.83,1.85
NBFC055,BaseFin 55 Ltd,Base Layer,West,FY24Q2,30/09/2023,Infrastructure,251.26,2.88,0.864,28.57,3.149
NBFC044,BaseFin 44 Ltd,Base Layer,Central,FY25Q2,2024-09-30,  Infrastructure ,489.7,2.623,0.63,23.36,3.177
NBFC052,BaseFin 52 Ltd,Base Layer,North,FY22Q4,31-03-2022,Wholesale/Corporate,788.94,6.154,2.4,24.96,1.606
NBFC015,UpperFin 15 Ltd,Upper Layer,West,FY25Q4,2025-03-31,  Retail (Personal/Unsecured) ,15375.59,N/A,1.045,25.78,2.656
NBFC027,MiddleFin 27 Ltd,  Middle Layer ,North,FY21Q4,31/03/2021,Microfinance,13400.11,11.75,5.288,,1.326
NBFC019,MiddleFin 19 Ltd,Middle Layer,Central,FY22Q4,2022-03-31,gold,14430.77,1.782,0.695,25.59,1.336
NBFC043,BaseFin 43 Ltd,base layer,East,FY22Q2,2021-09-30,Wholesale/Corporate,688.63,6.49,2.726,26.83,1.189
NBFC022,MiddleFin 22 Ltd,Middle Layer,North,FY24Q2,30/09/2023,MSME,"17,317.57",4.405,1.321,27.42,3.361
NBFC005,UpperFin 05 Ltd,Upper Layer,West,FY25Q4,31-03-2025,Retail (Gold),7348.4,0.98,0.206,null,2.25
NBFC019,MiddleFin 19 Ltd,Middle Layer,Central,FY22Q4,31-03-2022,Retail (Personal/Unsecured),20203.08,9.411,3.67,25.61,1.56
NBFC017,MiddleFin 17 Ltd,Middle Layer,North,FY23Q4,2023-03-31,Retail (Vehicle),35974.75,3.752,1.238,25.91,3.094
NBFC041,BaseFin 41 Ltd,Base Layer,South,FY22Q2,2021-09-30,  Wholesale/Corporate ,523.47,6.644,2.79,25.12,1.467
NBFC038,MiddleFin 38 Ltd,Middle Layer,East,FY24Q4,2024-03-31,Retail (Gold),9203.16,0.783%,0.211,26.84,2.708
NBFC035,MiddleFin 35 Ltd,Middle Layer,West,FY24Q2,30/09/2023,Microfinance,"23,450.53",7.325,2.198,25.96,3.158
  NBFC007 ,UpperFin 07 Ltd,Upper Layer,North,FY24Q4,31/03/2024,Retail (Gold),4081.39,0.777,0.21,N/A,3.39
NBFC046,BaseFin 46 Ltd,Base Layer,South,FY24Q4,31-03-2024,Retail (Vehicle),2957.3,2.385,0.644,26.88,2.87
  NBFC038 ,MiddleFin 38 Ltd,ML,East,FY22Q4,2022-03-31,Retail (Vehicle),10364.51,5.428,2.117,26.19,1.951
NBFC015,UpperFin 15 Ltd,Upper Layer,West,FY23Q4,2023-03-31,Retail (Personal/Unsecured),11129.19,6.158,2.032,28.6,2.711
NBFC060,BaseFin 60 Ltd,base layer,West,FY23Q4,31-03-2023,Infrastructure,305.16,3.271,1.079,29.42,2.453
NBFC018,MiddleFin 18 Ltd,Middle  Layer,East,FY23Q4,31-03-2023,Wholesale/Corporate,19434.63,3.94,1.3,26.76,3.312
NBFC051,BaseFin 51 Ltd,Base Layer,South,FY21Q4,31-03-2021,Retail (Vehicle),1297.51,5.894,2.652,26.74,1.727
NBFC011,UpperFin 11 Ltd,Upper Layer,South,FY23Q4,31-03-2023,Microfinance,3558.66,7.602,,28.19,2.527
NBFC059,BaseFin 59 Ltd,Base Layer,Central,FY24Q2,30-09-2023,Retail (Vehicle),3160.06,3.549,1.065,25.11,3.402
NBFC013,UpperFin 13 Ltd,Upper Layer,East,FY25Q2,30/09/2024,Microfinance,4343.34,6.593,1.582,25.26,3.548
NBFC028,MiddleFin 28 Ltd,  Middle Layer ,East,FY24Q2,30/09/2023,Wholesale/Corporate,"23,232.97",3.998,1.199,28.83,2.606
NBFC050,BaseFin 50 Ltd,Base Layer,West,FY21Q4,2021-03-31,Infrastructure,295.14,5.192,2.336,27.64,1.744
NBFC025,MiddleFin 25 Ltd,Middle Layer,West,FY25Q2,30/09/2024,Retail (Vehicle),"16,730.78",3.297,0.791,28.82,2.877
NBFC015,UpperFin 15 Ltd,UL,West,FY22Q4,31/03/2022,Infrastructure,13326.86,4.826,1.882,23.97,2.136
  NBFC048 ,BaseFin 48 Ltd,Base Layer,East,FY25Q4,2025-03-31,Retail (Gold),3624.37,0.924,0.194,28.38,3.155
NBFC037,MiddleFin 37 Ltd,  Middle Layer ,North,FY22Q2,30/09/2021,MSME,"16,983.23",7.575,3.181,28.04,2.097
NBFC003,UpperFin 03 Ltd,UPPER LAYER,East,FY24Q2,30-09-2023,Retail (Vehicle),"30,821.85",3.555,1.066,28.05,3.502
NBFC022,MiddleFin 22 Ltd,Middle Layer,North,FY23Q2,30-09-2022,Retail (Personal/Unsecured),"12,866.12",-,2.795,27.48,1.667
NBFC058,BaseFin 58 Ltd,BASE LAYER,East,FY23Q2,30/09/2022,Infrastructure,227.96,3.919,1.411,29.41,2.376
NBFC054,BaseFin 54 Ltd,Base Layer,Central,FY23Q4,31-03-2023,retail (housing),994.04,999,0.621,27.43,2.765
NBFC042,BaseFin 42 Ltd,Base Layer,North,FY23Q4,31/03/2023,MSME,2705.16,4.463,1.473,26.14,2.908
NBFC053,BaseFin 53 Ltd,Base Layer,East,FY25Q4,2025-03-31,Microfinance,2163.15,6.002,1.26,25.44,-
NBFC041,BaseFin 41 Ltd,Base Layer,South,FY24Q2,30-09-2023,Retail (Housing),937.34,1.923,0.577,30.5,2.578
NBFC034,MiddleFin 34 Ltd,Middle Layer,Central,FY25Q2,30/09/2024,Infrastructure,10812.82,2.796,0.671,25.64,2.844
NBFC038,MiddleFin 38 Ltd,Middle Layer,East,FY25Q2,30/09/2024,Wholesale/Corporate,9833.14,3.386,0.813,27.44,3.389
NBFC028,MiddleFin 28 Ltd,Middle Layer,East,FY21Q4,31/03/2021,Retail (Personal/Unsecured),22930.13,10.177,4.58,25.21,1.979
NBFC043,BaseFin 43 Ltd,base layer,East,FY25Q4,31-03-2025,Infrastructure,390.58,2.455,0.516,26.31,2.335
NBFC030,MiddleFin 30 Ltd,Middle Layer,West,FY22Q4,31-03-2022,Microfinance,15649.37,10.815,4.218,25.91,2.232
NBFC014,UpperFin 14 Ltd,upper layer,Central,FY23Q2,30/09/2022,Retail (Vehicle),19388.07,4.668,1.68,26.74,2.597
NBFC022,MiddleFin 22 Ltd,ML,North,FY25Q2,30/09/2024,Retail (Housing),18042.72,1.596,null,25.91,3.5
NBFC001,UpperFin 01 Ltd,upper layer,South,FY23Q2,30/09/2022,Microfinance,4616.23,9.269,3.337,28.05,1.596
NBFC015,UpperFin 15 Ltd,Upper Layer,West,FY24Q4,2024-03-31,Microfinance,"5,409.63",4.522,1.221,25.97,3.355
NBFC032,MiddleFin 32 Ltd,  Middle Layer ,North,FY25Q4,31-03-2025,Wholesale/Corporate,15526.71,3.179,0.668,27.62,3.36
NBFC033,MiddleFin 33 Ltd,ML,East,FY25Q4,31-03-2025,Retail (Gold),10630.53,0.959,0.201,-,3.341
NBFC053,BaseFin 53 Ltd,Base Layer,East,FY23Q2,2022-09-30,Retail (Personal/Unsecured),1304.69,8.087,2.911,28.26,1.644
NBFC019,MiddleFin 19 Ltd,Middle Layer,Central,FY25Q2,2024-09-30,MSME,35048.77,,0.975,27.07,null
NBFC044,BaseFin 44 Ltd,Base Layer,Central,FY24Q2,30-09-2023,MSME,2878.84,4.31,1.293,28.35,3.335
NBFC058,BaseFin 58 Ltd,Base Layer,East,FY24Q2,2023-09-30,  Retail (Gold) ,0,1.138,0.341,28.56,3.531
NBFC029,MiddleFin 29 Ltd,Middle Layer,Central,FY25Q4,31/03/2025,Infrastructure,18764.22,2.359,-,23.37,2.625
NBFC031,MiddleFin 31 Ltd,Middle Layer,South,FY23Q2,30/09/2022,Retail (Vehicle),22202.21,4.801,1.728,29.49,1.95
NBFC017,MiddleFin 17 Ltd,Middle Layer,North,FY22Q4,31/03/2022,Wholesale/Corporate,19231.53,5.922,2.31,26.53,1.901
NBFC032,MiddleFin 32 Ltd,  Middle Layer ,North,FY24Q2,2023-09-30,MSME,"19,607.55",4.425,1.327,29.0,3.028
NBFC039,MiddleFin 39 Ltd,Middle Layer,Central,FY25Q4,2025-03-31,Retail (Vehicle),44202.49,2.967,0.623,25.93,3.334
NBFC026,MiddleFin 26 Ltd,Middle Layer,South,FY25Q4,31-03-2025,Retail (Vehicle),33728.57,2.742,0.576,24.65,3.185
NBFC031,MiddleFin 31 Ltd,Middle Layer,South,FY21Q4,31/03/2021,Retail (Personal/Unsecured),16129.66,10.11,4.549,26.9,1.512
NBFC057,BaseFin 57 Ltd,Base Layer,North,FY23Q4,2023-03-31,Retail (Personal/Unsecured),"3,316.82",6.343,2.093,28.07,2.304
NBFC038,MiddleFin 38 Ltd,Middle  Layer,East,FY22Q4,2022-03-31,Infrastructure,"5,182.25",4.484,NA,29.22,1.259
NBFC043,BaseFin 43 Ltd,base layer,East,FY24Q4,31/03/2024,Retail (Gold),3091.93,0.756%,0.204,28.39,3.003
NBFC032,MiddleFin 32 Ltd,Middle Layer,North,FY23Q4,31/03/2023,Retail (Vehicle),17981.72,3.775,1.246,-,2.605
NBFC021,MiddleFin 21 Ltd,Middle Layer,South,FY22Q2,2021-09-30,Retail (Vehicle),13970.95,6.079,2.553,28.63,1.745
NBFC013,UpperFin 13 Ltd,UPPER LAYER,East,FY23Q4,31-03-2023,Retail (Personal/Unsecured),8363.05,6.102,2.014,25.58,3.142
NBFC016,MiddleFin 16 Ltd,Middle Layer,South,FY22Q2,2021-09-30,Retail (Vehicle),20576.24,5.866,2.464,26.78,1.449
NBFC023,MiddleFin 23 Ltd,Middle Layer,East,FY21Q4,2021-03-31,Wholesale/Corporate,12857.98,6.578%,2.96,27.05,1.884
NBFC050,BaseFin 50 Ltd,base layer,West,FY23Q4,31/03/2023,Wholesale/Corporate,1151.8,4.213,1.39,30.33,2.975
NBFC039,MiddleFin 39 Ltd,Middle Layer,Central,FY22Q4,31-03-2022,Wholesale/Corporate,17103.87,5.904,2.303,23.81,2.278
NBFC025,MiddleFin 25 Ltd,Middle Layer,West,FY24Q4,31/03/2024,Retail (Personal/Unsecured),13701.53,3.945,1.065,26.66,3.216
NBFC025,MiddleFin 25 Ltd,Middle  Layer,West,FY22Q2,30-09-2021,Retail (Vehicle),10462.56,6.29,2.642,26.96,1.163
NBFC051,BaseFin 51 Ltd,BL,South,FY24Q2,30-09-2023,Infrastructure,262.93,2.879,0.864,25.9,3.089
